College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
College of the Canyons,UCB,Calc1,A,1,MATH 51,MATH 211 (5.00),
College of the Canyons,UCB,Calc2,A,1,MATH 52,MATH 212 (5.00),
College of the Canyons,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 214 (4.00); MATH 215 (4.00),
College of the Canyons,UCB,MultivariableCalc,A,1,MATH 53,MATH 213 (5.00),
College of the Canyons,UCD,Calc1,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MATH 211 (5.00); MATH 212 (5.00); MATH 213 (5.00),
College of the Canyons,UCD,Calc2,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MATH 211 (5.00); MATH 212 (5.00); MATH 213 (5.00),
College of the Canyons,UCD,Calc3,A,2,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MATH 211 (5.00); MATH 212 (5.00); MATH 213 (5.00),
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
College of the Canyons,UCD,DiscreteMath,A,1,ECS 020,CMPSCI 256 (3.00),
College of the Canyons,UCD,Intro1,A,1,ECS 036A,CMPSCI 235 (3.00),
College of the Canyons,UCD,Intro2,A,1,ECS 036B,CMPSCI 236 (3.00),
College of the Canyons,UCD,Linear Algebra,A,1,MAT 022A,MATH 214 (4.00),
Not Articulated,UCD,Organization,A,1,ECS 050,Not Articulated,
College of the Canyons,UCI,Calc1,A,1,MATH 2A,MATH 211 (5.00); MATH 211X (6.00); MATH 240 (5.00); MATH 240X (6.00),
College of the Canyons,UCI,Calc2,A,1,MATH 2B,MATH 212 (5.00),
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Not Articulated,UCI,Programming,A,1,I&C SCI 45C,Not Articulated,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,
Not Articulated,UCI,Programming,F,1,I&C SCI 6B,Not Articulated,
Not Articulated,UCI,Programming,G,1,I&C SCI 6D,Not Articulated,
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,
College of the Canyons,UCLA,Calc1,A,1,MATH 31A,MATH 211 (5.00),
College of the Canyons,UCLA,Calc2,A,1,MATH 31B,MATH 212 (5.00),
College of the Canyons,UCLA,Calc3,A,1,MATH 32A,MATH 213 (5.00),
College of the Canyons,UCLA,Calc4,A,1,MATH 32B,MATH 213 (5.00),
College of the Canyons,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 215 (4.00),
College of the Canyons,UCLA,DiscreteStructures,A,1,MATH 61,CMPSCI 256 (3.00),
College of the Canyons,UCLA,Intro,A,1,COM SCI 31,CMPSCI 236 (3.00),
Not Articulated,UCLA,Intro2,A,1,COM SCI 32,Not Articulated,
College of the Canyons,UCLA,Intro3,A,1,COM SCI 33,CMPSCI 122 (3.00),
College of the Canyons,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 214 (4.00),
Not Articulated,UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,
College of the Canyons,UCM,Calc1,A,1,MATH 021,MATH 211 (5.00),
College of the Canyons,UCM,Calc2,A,1,MATH 022,MATH 212 (5.00),
College of the Canyons,UCM,DataStructures,A,1,CSE 030,CMPSCI 182 (3.00); CMPSCI 182L (1.00),
College of the Canyons,UCM,LinearAlgebra,A,1,MATH 024,MATH 214 (4.00); MATH 215 (4.00),
College of the Canyons,UCM,VectorCalc,A,1,MATH 023,MATH 213 (5.00),
College of the Canyons,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 211 (5.00); MATH 212 (5.00),
College of the Canyons,UCR,Intro1,A,1,CS 10A,CMPSCI 111 (3.00); CMPSCI 111L (1.00),CMPSCI 235 (3.00)
College of the Canyons,UCR,Intro2,A,1,CS 10B,CMPSCI 236 (3.00),
College of the Canyons,UCSB,Calc1,A,1,MATH 3A,MATH 211 (5.00),MATH 211X (6.00)
College of the Canyons,UCSB,Calc2,A,1,MATH 3B,MATH 212 (5.00),
College of the Canyons,UCSB,DataStructures,A,1,CMPSC 24,CMPSCI 236 (3.00); CMPSCI 282 (3.00),
College of the Canyons,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 215 (4.00),
College of the Canyons,UCSB,DiscreteMath,A,1,CMPSC 40,CMPSCI 256 (3.00),
College of the Canyons,UCSB,Intro,A,1,CMPSC 16,CMPSCI 182 (3.00); CMPSCI 182L (1.00); CMPSCI 235 (3.00),
College of the Canyons,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 214 (4.00),
College of the Canyons,UCSC,Calc1,A,1,MATH 19A,MATH 211 (5.00),MATH 211X (6.00)
College of the Canyons,UCSC,Calc2,A,1,MATH 19B,MATH 212 (5.00),
College of the Canyons,UCSC,DataStructures,A,1,CSE 12,CMPSCI 122 (3.00),
College of the Canyons,UCSC,DiscreteMath,A,1,CSE 16,CMPSCI 256 (3.00),
College of the Canyons,UCSC,Intro,A,1,CSE 30,CMPSCI 182 (3.00); CMPSCI 182L (1.00),
College of the Canyons,UCSD,Calc1,A,1,MATH 20A,MATH 211 (5.00),
College of the Canyons,UCSD,Calc2,A,1,MATH 20B,MATH 212 (5.00),
College of the Canyons,UCSD,Calc3,A,1,MATH 20C,MATH 213 (5.00),
College of the Canyons,UCSD,DataStructures,A,1,CSE 12,CMPSCI 182 (3.00); CMPSCI 182L (1.00),
College of the Canyons,UCSD,DiscreteMath,A,1,CSE 20,CMPSCI 256 (3.00),
College of the Canyons,UCSD,Intro,A,1,CSE 11,CMPSCI 111 (3.00); CMPSCI 111L (1.00),
College of the Canyons,UCSD,LinearAlgebra,A,1,MATH 18,MATH 214 (4.00),
