College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Santa Rosa Junior College,UCB,Calc1,A,1,MATH 51,MATH 1A (5.00),
Santa Rosa Junior College,UCB,Calc2,A,1,MATH 52,MATH 1B (5.00),
Santa Rosa Junior College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 2 (4.00); MATH 5 (4.00),
Santa Rosa Junior College,UCB,MultivariableCalc,A,1,MATH 53,MATH 1B (5.00); MATH 1C (4.00),
Santa Rosa Junior College,UCD,Calc1,A,1,MAT 021A,MATH 1A (5.00),
Santa Rosa Junior College,UCD,Calc2,A,1,MAT 021B,MATH 1B (5.00),
Santa Rosa Junior College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 1C (4.00),
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Santa Rosa Junior College,UCD,DiscreteMath,A,1,ECS 020,MATH 4 (4.00),
Santa Rosa Junior College,UCD,Intro1,A,1,ECS 036A,CS 17.11 (3.00),
Santa Rosa Junior College,UCD,Intro2,A,1,ECS 036B,CS 10C (4.00),
Santa Rosa Junior College,UCD,Organization,A,1,ECS 050,CS 12 (4.00),
Santa Rosa Junior College,UCI,Calc1,A,1,MATH 2A,MATH 1A (5.00),
Santa Rosa Junior College,UCI,Calc2,A,1,MATH 2B,MATH 1B (5.00),
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Not Articulated,UCI,Programming,A,1,I&C SCI 45C,Not Articulated,
Santa Rosa Junior College,UCI,Programming,B,1,I&C SCI 46,CS 10C (4.00); CS 17.11 (3.00),
Not Articulated,UCI,Programming,C,1,I&C SCI 51,Not Articulated,
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,
Not Articulated,UCI,Programming,F,1,I&C SCI 6B,Not Articulated,
Santa Rosa Junior College,UCI,Programming,G,1,I&C SCI 6D,MATH 4 (4.00),
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,
Santa Rosa Junior College,UCLA,Calc1,A,1,MATH 31A,MATH 1A (5.00),
Santa Rosa Junior College,UCLA,Calc2,A,1,MATH 31B,MATH 1B (5.00),
Santa Rosa Junior College,UCLA,Calc3,A,1,MATH 32A,MATH 1C (4.00),
Santa Rosa Junior College,UCLA,Calc4,A,1,MATH 32B,MATH 1C (4.00),
Santa Rosa Junior College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 2 (4.00),
Not Articulated,UCLA,Intro,A,1,COM SCI 31,Not Articulated,
Santa Rosa Junior College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 5 (4.00),
Santa Rosa Junior College,UCM,Calc1,A,1,MATH 021,MATH 1A (5.00),
Santa Rosa Junior College,UCM,Calc2,A,1,MATH 022,MATH 1B (5.00),
Santa Rosa Junior College,UCM,DataStructures,A,1,CSE 030,CS 10C (4.00),
Santa Rosa Junior College,UCM,Intro,A,1,CSE 022,CS 10A (4.00),
Santa Rosa Junior College,UCM,LinearAlgebra,A,1,MATH 024,MATH 2 (4.00); MATH 5 (4.00),
Santa Rosa Junior College,UCM,VectorCalc,A,1,MATH 023,MATH 1C (4.00),
Santa Rosa Junior College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1A (5.00); MATH 1B (5.00),
Santa Rosa Junior College,UCR,Intro1,A,1,CS 10A,CS 10A (4.00),CS 17.11 (3.00)
Santa Rosa Junior College,UCR,Intro2,A,1,CS 10B,CS 10C (4.00),
Santa Rosa Junior College,UCSB,Calc1,A,1,MATH 3A,MATH 1A (5.00),
Santa Rosa Junior College,UCSB,Calc2,A,1,MATH 3B,MATH 1B (5.00),
Santa Rosa Junior College,UCSB,DataStructures,A,1,CMPSC 24,CS 10B (4.00); CS 10C (4.00),
Santa Rosa Junior College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 2 (4.00),
Santa Rosa Junior College,UCSB,DiscreteMath,A,1,CMPSC 40,MATH 4 (4.00),
Santa Rosa Junior College,UCSB,Intro,A,1,CMPSC 16,CS 10B (4.00); CS 10C (4.00),
Santa Rosa Junior College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 5 (4.00),
Santa Rosa Junior College,UCSC,Calc1,A,1,MATH 19A,MATH 1A (5.00),
Santa Rosa Junior College,UCSC,Calc2,A,1,MATH 19B,MATH 1B (5.00),
Santa Rosa Junior College,UCSC,DiscreteMath,A,1,CSE 16,MATH 4 (4.00),
Santa Rosa Junior College,UCSC,Intro,A,1,CSE 30,CS 10C (4.00),
Santa Rosa Junior College,UCSC,Organization,A,1,CSE 12,CS 12 (4.00),
Santa Rosa Junior College,UCSD,Calc1,A,1,MATH 20A,MATH 1A (5.00),
Santa Rosa Junior College,UCSD,Calc2,A,1,MATH 20B,MATH 1B (5.00),
Santa Rosa Junior College,UCSD,Calc3,A,1,MATH 20C,MATH 1C (4.00),
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Santa Rosa Junior College,UCSD,DiscreteMath,A,1,CSE 20,MATH 4 (4.00),
Santa Rosa Junior College,UCSD,Intro,B,1,CSE 11,CS 17.11 (3.00),
Santa Rosa Junior College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 5 (4.00),
