College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Reedley College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 17 (5.00),,
Reedley College,UCB,MultivariableCalc,A,1,MATH 53,MATH 6 (5.00),,
Reedley College,UCD,Calc1,A,1,MAT 021A,MATH 5A (5.00),,
Madera Community College,UCD,Calc2,A,1,MAT 021B,MATH  5B (4.00),,
Fresno City College,UCD,Calc3,A,1,MAT 021C,MATH 6 (4.00),,
Madera Community College,UCD,DataStructures,A,1,ECS 036C,CSCI  41 (4.00),,
Reedley College,UCD,DiscreteMath,A,1,ECS 020,CSCI 26 (4.00),,
Reedley College,UCD,Intro1,A,1,ECS 036A,CSCI 40 (4.00),,
Reedley College,UCD,Intro2,A,1,ECS 036B,CSCI 41 (4.00),,
Reedley College,UCD,Organization,A,1,ECS 050,CSCI 45 (4.00),,
Reedley College,UCI,Calc1,A,1,MATH 2A,MATH 5A (5.00),,
Reedley College,UCI,Calc2,A,1,MATH 2B,MATH 5B (4.00),,
Reedley College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 40 (4.00); CSCI 41 (4.00),,
Reedley College,UCLA,Calc1,A,1,MATH 31A,MATH 5A (5.00),,
Reedley College,UCLA,Calc2,A,1,MATH 31B,MATH 5B (4.00),,
Reedley College,UCLA,Calc3,A,1,MATH 32A,MATH 6 (5.00),,
Reedley College,UCLA,Calc4,A,1,MATH 32B,MATH 6 (5.00),,
Reedley College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 17 (5.00),,
Madera Community College,UCLA,Intro,A,1,COM SCI 31,ENGR  40 (4.00),,
Reedley College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 17 (5.00),,
Reedley College,UCM,Calc1,A,1,MATH 021,MATH 5A (5.00),,
Reedley College,UCM,Calc2,A,1,MATH 022,MATH 5B (4.00),,
Reedley College,UCM,DataStructures,A,1,CSE 030,CSCI 41 (4.00),,
Reedley College,UCM,LinearAlgebra,A,1,MATH 024,MATH 17 (5.00),,
Reedley College,UCM,VectorCalc,A,1,MATH 023,MATH 6 (5.00),,
Reedley College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 5A (5.00); MATH 5B (4.00),,
Reedley College,UCR,Intro1,A,1,CS 10A,CSCI 5 (3.00),CSCI 40 (4.00),ENGR 40 (4.00)
Reedley College,UCR,Intro2,A,1,CS 10B,CSCI 41 (4.00),,
Reedley College,UCSB,Calc1,A,1,MATH 3A,MATH 5A (5.00),,
Reedley College,UCSB,Calc2,A,1,MATH 3B,MATH 5B (4.00),,
Reedley College,UCSB,DataStructures,A,1,CMPSC 24,CSCI 41 (4.00),,
Reedley College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 17 (5.00),,
Reedley College,UCSB,DiscreteMath,A,1,CMPSC 40,CSCI 26 (4.00),,
Reedley College,UCSB,Intro,A,1,CMPSC 16,CSCI 40 (4.00),,
Reedley College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 17 (5.00),,
Reedley College,UCSC,Calc1,A,1,MATH 19A,MATH 5A (5.00),,
Reedley College,UCSC,Calc2,A,1,MATH 19B,MATH 5B (4.00),,
Reedley College,UCSC,DiscreteMath,A,1,CSE 16,CSCI 26 (4.00),,
Reedley College,UCSC,Intro,A,1,CSE 30,CSCI 41 (4.00),,
Reedley College,UCSD,Calc1,A,1,MATH 20A,MATH 5A (5.00),,
Reedley College,UCSD,Calc2,A,1,MATH 20B,MATH 5B (4.00),,
Reedley College,UCSD,Calc3,A,1,MATH 20C,MATH 6 (5.00),,
Fresno City College,UCSD,DataStructures,A,1,CSE 12,CSCI 41 (4.00),,
Reedley College,UCSD,DiscreteMath,A,1,CSE 20,CSCI 26 (4.00),,
Reedley College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 17 (5.00),,
