UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1
UCB,Calc1,A,1,MATH 1A,MAT 105 (5.00)
UCB,Calc2,A,1,MATH 1B,MAT 106 (5.00); MAT 107 (5.00)
UCB,MultivariableCalc,A,1,MATH 53,MAT 202 (5.00)
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MAT 203 (5.00); MAT 204 (5.00)
UCD,DiscreteMath,A,1,ECS 020,Not Articulated
UCD,Intro1,A,1,ECS 036A,Not Articulated
UCD,Intro2,A,1,ECS 036B,Not Articulated
UCD,DataStructures,A,1,ECS 036C,Not Articulated
UCD,Organization,A,1,ECS 050,Not Articulated
UCD,Calc1,A,1,MAT 021A,MAT 105 (5.00)
UCD,Calc2,A,1,MAT 021B,MAT 106 (5.00)
UCD,Calc3,A,1,MAT 021C,MAT 107 (5.00)
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 120A (4.00); CIS 120B (4.00); CIS 120C (4.00)
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 120A (4.00); CIS 120B (4.00); CIS 120C (4.00)
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 120A (4.00); CIS 120B (4.00); CIS 120C (4.00)
UCI,Calc1,A,1,MATH 2A,MAT 105 (5.00)
UCI,Calc2,A,1,MATH 2B,MAT 106 (5.00)
UCLA,Intro,A,1,COM SCI 31,Not Articulated
UCLA,Calc1,A,1,MATH 31A,MAT 105 (5.00)
UCLA,Calc2,A,1,MATH 31B,MAT 106 (5.00)
UCLA,Calc3,A,1,MATH 32A,MAT 107 (5.00)
UCLA,Calc4,A,1,MATH 32B,MAT 202 (5.00)
UCLA,LinearAlgebra,A,1,MATH 33A,MAT 203 (5.00)
UCLA,DifferentialEquations,A,1,MATH 33B,MAT 204 (5.00)
UCM,DataStructures,A,1,CSE 030,CIS 120C (4.00)
UCM,Calc1,A,1,MATH 021,MAT 105 (5.00)
UCM,Calc2,A,1,MATH 022,MAT 106 (5.00); MAT 107 (5.00)
UCM,VectorCalc,A,1,MATH 023,MAT 202 (5.00)
UCM,LinearAlgebra,A,1,MATH 024,MAT 203 (5.00); MAT 204 (5.00)
UCM,DataStructures,A,1,CSE 030,CIS 120C (4.00)
UCR,Intro1,A,1,CS 10A,CIS 120A (4.00)
UCR,Intro2,A,1,CS 10B,CIS 120B (4.00); CIS 120C (4.00)
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 105 (5.00); MAT 106 (5.00); MAT 107 (5.00)
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 105 (5.00); MAT 106 (5.00); MAT 107 (5.00)
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 105 (5.00); MAT 106 (5.00); MAT 107 (5.00)
UCSD,Intro,A,1,CSE 8B,CIS 120B (4.00)
UCSD,Intro,B,1,CSE 11,Not Articulated
UCSD,DataStructures,A,1,CSE 12,CIS 120C (4.00)
UCSD,DiscreteMath,A,1,CSE 20,Not Articulated
UCSD,LinearAlgebra,A,1,MATH 18,MAT 203 (5.00)
UCSD,Calc1,A,1,MATH 20A,MAT 105 (5.00)
UCSD,Calc2,A,1,MATH 20B,MAT 106 (5.00)
UCSD,Calc3,A,1,MATH 20C,MAT 202 (5.00)
UCSB,Calc1,A,1,MATH 3A,MAT 105 (5.00)
UCSB,Calc2,A,1,MATH 3B,MAT 106 (5.00)
UCSB,LinearAlgebra,A,1,MATH 4A,MAT 203 (5.00)
UCSB,DifferentialEquations,A,1,MATH 4B,MAT 204 (5.00)
UCSB,Intro,A,1,CMPSC 16,Not Articulated
UCSB,DataStructures,A,1,CMPSC 24,Not Articulated
UCSB,DiscreteMath,A,1,CMPSC 40,Not Articulated
UCSC,DataStructures,A,1,CSE 12,Not Articulated
UCSC,DiscreteMath,A,1,CSE 16,Not Articulated
UCSC,Intro,A,1,CSE 30,CIS 120C (4.00)
UCSC,Calc1,A,1,MATH 19A,MAT 105 (5.00)
UCSC,Calc2,A,1,MATH 19B,MAT 106 (5.00); MAT 107 (5.00)
