UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH 150 (5.00),MATH 150H (5.00),
UCB,Calc2,A,1,MATH 1B,MATH 155 (4.00),,
UCB,MultivariableCalc,A,1,MATH 53,MATH 260 (4.00),MATH 260H (4.00),
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 265 (4.00); MATH 270 (4.00),MATH 265 (4.00); MATH 270H (4.00),
UCD,DiscreteMath,A,1,ECS 020,CS 226 (4.00),MATH 226 (4.00),
UCD,Intro1,A,1,ECS 036A,CS 111 (3.00),CS 150 (3.00),CS 138 (3.00)
UCD,Intro2,A,1,ECS 036B,CS 112 (3.00),CS 151 (3.00),
UCD,DataStructures,A,1,ECS 036C,CS 113 (3.00),,
UCD,Organization,A,1,ECS 050,CS 220 (3.00),,
UCD,Calc1,A,1,MAT 021A,MATH 150 (5.00),MATH 150H (5.00),
UCD,Calc2,A,1,MAT 021B,MATH 155 (4.00),,
UCD,Calc3,A,1,MAT 021C,MATH 260 (4.00),MATH 260H (4.00),
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 111 (3.00); CS 112 (3.00),CS 150 (3.00); CS 151 (3.00),
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 111 (3.00); CS 112 (3.00),CS 150 (3.00); CS 151 (3.00),
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 111 (3.00); CS 112 (3.00),CS 150 (3.00); CS 151 (3.00),
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CS 138 (3.00); CS 139 (3.00),,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32,CS 138 (3.00); CS 139 (3.00),,
UCI,Calc1,A,1,MATH 2A,MATH 150 (5.00),MATH 150H (5.00),
UCI,Calc2,A,1,MATH 2B,MATH 155 (4.00),MATH 155H (4.00),
UCLA,Intro,A,1,COM SCI 31,CS 150 (3.00),,
UCLA,Calc1,A,1,MATH 31A,MATH 150 (5.00),MATH 150H (5.00),
UCLA,Calc2,A,1,MATH 31B,MATH 155 (4.00),MATH 155H (4.00),
UCLA,Calc3,A,1,MATH 32A,MATH 260 (4.00),MATH 260H (4.00),
UCLA,Calc4,A,1,MATH 32B,MATH 260 (4.00),MATH 260H (4.00),
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 270 (4.00),MATH 270H (4.00),
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 265 (4.00),MATH 265H (4.00),
UCM,DataStructures,A,1,CSE 030,CS 113 (3.00),,
UCM,Calc1,A,1,MATH 021,MATH 150 (5.00),MATH 150H (5.00),
UCM,Calc2,A,1,MATH 022,MATH 155 (4.00),MATH 155H (4.00),
UCM,VectorCalc,A,1,MATH 023,MATH 260 (4.00),MATH 260H (4.00),
UCM,LinearAlgebra,A,1,MATH 024,MATH 265 (4.00); MATH 270 (4.00),,
UCM,DataStructures,A,1,CSE 030,CS 113 (3.00),,
UCR,Intro1,A,1,CS 10A,CS 111 (3.00),CS 138 (3.00),CS 150 (3.00)
UCR,Intro2,A,1,CS 10B,CS 112 (3.00),CS 151 (3.00),
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150 (5.00); MATH 155 (4.00),,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150 (5.00); MATH 155 (4.00),,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150 (5.00); MATH 155 (4.00),,
UCSD,Intro,A,1,CSE 8B,CS 112 (3.00),,
UCSD,Intro,B,1,CSE 11,Not Articulated,,
UCSD,DataStructures,A,1,CSE 12,CS 113 (3.00),,
UCSD,DiscreteMath,A,1,CSE 20,MATH 226 (4.00),CS 226 (4.00),
UCSD,LinearAlgebra,A,1,MATH 18,MATH 270 (4.00),MATH 270H (4.00),
UCSD,Calc1,A,1,MATH 20A,MATH 150 (5.00),MATH 150H (5.00),
UCSD,Calc2,A,1,MATH 20B,MATH 155 (4.00),MATH 155H (4.00),
UCSD,Calc3,A,1,MATH 20C,MATH 260 (4.00),MATH 260H (4.00),
UCSB,Calc1,A,1,MATH 3A,MATH 150 (5.00),MATH 150H (5.00),MATH 150S (7.00)
UCSB,Calc2,A,1,MATH 3B,MATH 155 (4.00),MATH 155H (4.00),
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 270 (4.00),MATH 270H (4.00),
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 265 (4.00),MATH 265H (4.00),
UCSB,Intro,A,1,CMPSC 16,CS 150 (3.00),,
UCSB,DataStructures,A,1,CMPSC 24,CS 113 (3.00); CS 151 (3.00),,
UCSB,DiscreteMath,A,1,CMPSC 40,CS 226 (4.00),MATH 226 (4.00),MATH 226H (4.00)
UCSC,DataStructures,A,1,CSE 12,CS 220 (3.00),,
UCSC,DiscreteMath,A,1,CSE 16,CS 226 (4.00),MATH 226 (4.00),
UCSC,Intro,A,1,CSE 30,CS 113 (3.00),,
UCSC,Calc1,A,1,MATH 19A,MATH 150 (5.00),MATH 150H (5.00),
UCSC,Calc2,A,1,MATH 19B,MATH 155 (4.00),MATH 155H (4.00),
