UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
UCB,Calc1,A,1,MATH 1A,MATH -04A (4.00),,
UCB,Calc2,A,1,MATH 1B,MATH -04B (4.00),,
UCB,MultivariableCalc,A,1,MATH 53,MATH -04C (4.00),,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH -06 (3.00); MATH -08 (3.00),,
UCD,DiscreteMath,A,1,ECS 020,CPSC -07 (3.00),MATH -07 (3.00),
UCD,Intro1,A,1,ECS 036A,CPSC -06 (3.00),CPSC -14 (3.00),ENGR -14 (3.00)
UCD,Intro2,A,1,ECS 036B,CPSC -39 (4.00),,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,,
UCD,Organization,A,1,ECS 050,CPSC -42 (3.00),,
UCD,Calc1,A,1,MAT 021A,MATH -04A (4.00),,
UCD,Calc2,A,1,MAT 021B,MATH -04B (4.00),,
UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH -04C (4.00),,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,ENGR -14 (3.00); CPSC -25 (4.00),,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,ENGR -14 (3.00); CPSC -25 (4.00),,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,ENGR -14 (3.00); CPSC -25 (4.00),,
UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CTIS -04 (3.00); CTIS -14 (3.00),,
UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CTIS -04 (3.00); CTIS -14 (3.00),,
UCI,Calc1,A,1,MATH 2A,MATH -04A (4.00),,
UCI,Calc2,A,1,MATH 2B,MATH -04B (4.00),,
UCLA,Intro,A,1,COM SCI 31,Not Articulated,,
UCLA,Calc1,A,1,MATH 31A,MATH -04A (4.00),,
UCLA,Calc2,A,1,MATH 31B,MATH -04B (4.00),,
UCLA,Calc3,A,1,MATH 32A,MATH -04C (4.00),,
UCLA,Calc4,A,1,MATH 32B,MATH -04C (4.00),,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH -08 (3.00),,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH -06 (3.00),,
UCM,DataStructures,A,1,CSE 030,CPSC -39 (4.00),,
UCM,Calc1,A,1,MATH 021,MATH -04A (4.00),MATH -04AS (5.00),
UCM,Calc2,A,1,MATH 022,MATH -04B (4.00),,
UCM,VectorCalc,A,1,MATH 023,MATH -04C (4.00),,
UCM,LinearAlgebra,A,1,MATH 024,MATH -06 (3.00); MATH -08 (3.00),MATH -09 (4.00),
UCM,DataStructures,A,1,CSE 030,CPSC -39 (4.00),,
UCR,Intro1,A,1,CS 10A,CPSC -14 (3.00),,
UCR,Intro2,A,1,CS 10B,CPSC -39 (4.00),,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH -04A (4.00); MATH -04B (4.00),,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH -04A (4.00); MATH -04B (4.00),,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH -04A (4.00); MATH -04B (4.00),,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,
UCSD,Intro,B,1,CSE 11,Not Articulated,,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,,
UCSD,DiscreteMath,A,1,CSE 20,MATH -07 (3.00),,
UCSD,LinearAlgebra,A,1,MATH 18,MATH -08 (3.00),,
UCSD,Calc1,A,1,MATH 20A,MATH -04A (4.00),,
UCSD,Calc2,A,1,MATH 20B,MATH -04B (4.00),,
UCSD,Calc3,A,1,MATH 20C,MATH -04C (4.00),,
UCSB,Calc1,A,1,MATH 3A,MATH -04A (4.00),MATH -04AS (5.00),
UCSB,Calc2,A,1,MATH 3B,MATH -04B (4.00),,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH -08 (3.00),MATH -09 (4.00),
UCSB,DifferentialEquations,A,1,MATH 4B,MATH -06 (3.00),MATH -09 (4.00),
UCSB,Intro,A,1,CMPSC 16,CPSC -14 (3.00),ENGR -14 (3.00),
UCSB,DataStructures,A,1,CMPSC 24,Not Articulated,,
UCSB,DiscreteMath,A,1,CMPSC 40,CPSC -07 (3.00),MATH -07 (3.00),
UCSC,DataStructures,A,1,CSE 12,CPSC -42 (3.00),,
UCSC,DiscreteMath,A,1,CSE 16,CPSC -07 (3.00),MATH -07 (3.00),
UCSC,Intro,A,1,CSE 30,CPSC -39 (4.00),,
UCSC,Calc1,A,1,MATH 19A,MATH -04A (4.00),,
UCSC,Calc2,A,1,MATH 19B,MATH -04B (4.00),,
