Semester,Course,Credits,UCs Fulfilled
1,MATH 3A,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 3B,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 3C,5.0,UCB; UCD; UCLA; UCM; UCSD
2,CIS 61,5.0,UCR
2,MATH 11,4.0,UCD; UCSB; UCSC; UCSD
2,CIS 25,4.0,UCD; UCR; UCSB
2,CIS 36A,4.0,UCD; UCSD
3,CIS 20,4.0,UCD; UCSC
3,CIS 27,4.0,UCM; UCSB; UCSC
3,MATH 3E,3.0,UCB; UCLA; UCM; UCSB; UCSD
3,MATH 3F,3.0,UCB; UCLA; UCM; UCSB
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,CSE 12,,UCSD
