Semester,Course,Credits,UCs Fulfilled
1,MATH 150,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 151,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 252,4.0,UCB; UCD; UCLA; UCM; UCSD
1,CISC 179,4.0,UCI
2,CISC 192,4.0,UCI; UCLA; UCSB
2,CISC 201,4.0,UCI
2,CISC 187,4.0,UCM; UCSB; UCSD
2,CISC 190,4.0,UCR
3,CISC 191,4.0,UCR; UCSD
3,CISC 211,4.0,UCSC
3,MATH 254,3.0,UCB; UCLA; UCM; UCSB; UCSD
3,MATH 255,3.0,UCB; UCLA; UCM; UCSB
3,MATH 245,3.0,UCD; UCSB; UCSC; UCSD
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,CSE 30,,UCSC
